transaction_id,card_id,merchant_id,transaction_amount,transaction_datetime,transaction_location,transaction_status,is_fraud
100109,1737,124,1.55,2025-04-13 22:48:30,Online,Approved,1
100110,2905,78,1285.88,2025-07-28 09:22:17,China,Approved,1
100111,938,76,0.87,2025-06-04 00:07:33,Online,Approved,1
100112,406,53,3605.49,2024-10-26 03:18:42,Mingəçevir,Approved,1
100113,1386,69,1890.37,2025-06-28 20:54:00,Lənkəran,Approved,1
100114,2202,99,123.37,2025-04-01 23:38:17,Online,Approved,1
100115,1734,76,2190.83,2025-04-13 10:02:02,USA,Approved,1
100116,2568,169,348.5,2025-01-31 16:21:12,Online,Approved,1
100117,1669,76,1.76,2025-09-22 22:55:23,Online,Approved,1
100118,938,246,1668.1,2025-07-20 17:40:19,Quba,Approved,1
100119,2276,98,135,2025-07-04 06:06:19,Online,Approved,1
100120,1386,283,1657.55,2025-06-03 22:26:25,Naxçıvan,Approved,1
100121,251,233,2.03,2024-12-28 09:58:30,Online,Approved,1
100122,2502,300,315.6,2025-05-01 23:38:00,Online,Approved,1
100123,1982,197,3622.47,2024-12-17 04:29:20,Lənkəran,Approved,1
100124,510,288,0.83,2025-02-01 00:06:41,Online,Approved,1
100125,1346,334,159.87,2025-05-17 06:21:16,Online,Approved,1
100126,2232,135,1.9,2025-01-07 16:11:35,Online,Approved,1
100127,192,76,534.06,2025-09-23 03:45:18,USA,Approved,1
100128,128,48,2374.19,2024-10-01 20:25:49,USA,Approved,1
100129,2502,313,2034.47,2025-03-12 06:18:46,Şirvan,Approved,1
100130,1208,169,118.03,2025-07-07 19:04:25,Online,Approved,1
100131,1482,82,2119.17,2025-09-06 10:06:53,USA,Approved,1
100132,2648,382,1693.01,2025-06-19 21:48:54,Mingəçevir,Approved,1
100133,1482,276,1.15,2025-07-07 22:24:18,Online,Approved,1
100134,128,48,433.78,2025-08-31 15:35:37,USA,Approved,1
100135,1482,76,0.74,2025-05-14 17:57:43,Online,Approved,1
100136,558,274,72.62,2025-02-23 01:10:05,Online,Approved,1
100137,2373,369,1550.59,2025-02-11 20:17:54,Şəki,Approved,1
100138,1734,83,0.6,2025-03-23 03:21:40,Online,Approved,1
100139,2499,384,56.83,2025-01-24 13:52:27,Online,Approved,1
100140,1734,334,259.68,2025-02-01 01:07:03,Online,Approved,1
100141,2329,262,421.54,2024-12-28 14:42:16,Online,Approved,1
100142,439,77,2179.46,2025-02-11 18:52:39,USA,Approved,1
100143,658,121,1.65,2025-08-27 01:15:09,Online,Approved,1
100144,2502,48,951.75,2024-10-06 20:53:06,USA,Approved,1
100145,1208,76,1645.31,2025-03-02 00:26:41,USA,Approved,1
100146,1427,278,3055.65,2025-04-18 17:32:46,Lənkəran,Approved,1
100147,1410,274,150.22,2025-03-13 00:54:16,Online,Approved,1
100148,1707,220,2.08,2025-09-14 11:16:46,Online,Approved,1
100149,117,152,1844.69,2025-09-20 06:03:34,Lənkəran,Approved,1
100150,2122,354,3583.49,2025-07-17 10:15:27,Gəncə,Approved,1
100151,90,98,339.37,2024-11-12 01:34:40,Online,Approved,1
100152,128,124,1.06,2025-05-02 11:43:44,Online,Approved,1
100153,658,262,477.49,2025-05-20 03:13:28,Online,Approved,1
100154,3012,123,341.77,2024-12-30 03:53:13,Online,Approved,1
100155,2673,74,526.64,2025-07-16 12:18:55,USA,Approved,1
100156,2276,309,337.06,2025-05-12 21:20:08,Online,Approved,1
100157,1208,127,1.33,2025-01-14 15:24:09,Online,Approved,1
100158,2232,13,2986.16,2025-01-15 11:48:56,Bakı,Approved,1
100159,2568,77,792.16,2024-10-19 08:51:36,USA,Approved,1
100160,254,262,325.89,2025-01-11 20:56:36,Online,Approved,1
100161,2673,233,4445.71,2025-09-11 18:56:24,Mingəçevir,Approved,1
100162,338,83,1.94,2025-06-12 13:00:33,Online,Approved,1
100163,1410,81,1214.12,2024-11-14 23:36:13,USA,Approved,1
100164,1529,258,2306.83,2024-12-18 10:29:54,Gəncə,Approved,1
100165,1200,344,79.88,2025-05-29 08:32:30,Online,Approved,1
100166,1351,48,779.81,2025-08-17 20:22:58,USA,Approved,1
100167,2276,168,2.48,2024-11-18 20:53:41,Online,Approved,1
100168,336,344,172.92,2024-12-27 21:39:09,Online,Approved,1
100169,1213,382,1859.14,2025-07-11 12:30:34,Naxçıvan,Approved,1
100170,1933,236,3002.19,2025-07-10 11:47:17,Sumqayıt,Approved,1
100171,1351,81,0.51,2024-12-20 03:56:08,Online,Approved,1
100172,54,257,2044.4,2025-06-04 06:01:38,Şirvan,Approved,1
100173,2827,307,3252.73,2024-12-01 20:06:05,Naxçıvan,Approved,1
100174,681,77,912.45,2025-04-26 15:46:44,USA,Approved,1
100175,1857,139,1.37,2024-12-16 08:43:44,Online,Approved,1
100176,73,76,1682.26,2025-04-03 11:33:40,USA,Approved,1
100177,925,238,304.55,2024-11-19 05:59:39,Online,Approved,1
100178,284,312,1665.08,2025-07-16 08:26:46,Gəncə,Approved,1
100179,2938,113,3360.67,2025-07-28 20:47:49,Lənkəran,Approved,1
100180,799,100,283.02,2025-02-03 00:18:36,Online,Approved,1
100181,1669,83,2.02,2025-06-29 21:10:30,Online,Approved,1
100182,1539,239,2.04,2025-03-29 22:39:04,Online,Approved,1
100183,1982,48,1650.98,2024-10-26 05:06:53,USA,Approved,1
100184,52,123,84.23,2024-11-30 12:16:26,Online,Approved,1
100185,2074,159,2.25,2025-03-26 21:55:39,Online,Approved,1
100186,558,105,337.49,2024-11-12 04:30:32,Online,Approved,1
100187,663,192,3265.5,2025-06-19 00:14:03,Şəki,Approved,1
100188,558,76,434.03,2025-01-15 05:20:38,USA,Approved,1
100189,1857,143,4879.2,2025-05-05 08:17:29,Sumqayıt,Approved,1
100190,1537,135,0.78,2025-03-23 17:18:07,Online,Approved,1
100191,1489,81,1973.21,2025-05-02 03:27:04,USA,Approved,1
100192,2648,78,525.26,2024-12-01 17:10:12,China,Approved,1
100193,2202,101,417.28,2025-03-14 22:14:32,Online,Approved,1
100194,2373,19,3243.17,2025-03-01 01:06:38,Quba,Approved,1
100195,328,77,0.84,2025-03-16 02:54:22,Online,Approved,1
100196,2232,82,1007.51,2025-04-08 09:10:40,USA,Approved,1
100197,2671,48,1695.98,2025-04-13 08:19:00,USA,Approved,1
100198,336,75,2.12,2025-09-16 01:41:04,Online,Approved,1
100199,3012,78,1552.82,2024-10-16 16:39:46,China,Approved,1
100200,1816,35,1640.08,2024-12-04 04:27:14,Turkey,Approved,1
100201,1427,78,889.32,2025-09-24 02:08:05,China,Approved,1
100202,1034,77,1609.47,2025-07-13 09:14:59,USA,Approved,1
100203,1213,78,657.8,2024-10-11 02:43:34,China,Approved,1
100204,738,151,416.99,2024-11-24 23:17:09,Online,Approved,1
100205,799,101,196.44,2025-04-16 16:17:46,Online,Approved,1
100206,52,300,348.21,2024-10-18 00:56:48,Online,Approved,1
100207,510,336,4189.51,2025-06-24 17:19:28,Şəki,Approved,1
100208,738,318,3173.57,2024-11-22 23:23:54,Quba,Approved,1
100209,643,86,4873.08,2025-09-08 02:41:33,Bakı,Approved,1
100210,1506,342,459.51,2025-06-26 03:10:25,Online,Approved,1
100211,537,229,3852.85,2025-02-06 11:06:20,Mingəçevir,Approved,1
100212,2570,105,316.33,2025-01-30 12:17:00,Online,Approved,1
100213,2232,76,2188.41,2024-11-27 06:47:17,USA,Approved,1
100214,2952,83,2.33,2024-12-01 23:48:25,Online,Approved,1
100215,2202,74,420.56,2025-06-14 13:57:58,USA,Approved,1
100216,2981,48,2750.69,2025-07-23 18:18:13,USA,Approved,1
100217,1737,127,2.41,2024-12-02 12:15:40,Online,Approved,1
100218,1537,335,2885.77,2025-04-25 12:04:55,Bakı,Approved,1
100219,10,77,0.97,2024-11-11 06:38:44,Online,Approved,1
100220,1410,302,320.81,2025-05-12 21:05:15,Online,Approved,1
100221,663,159,1.11,2025-06-10 19:20:26,Online,Approved,1
100222,338,138,3033.65,2024-12-19 19:00:57,Mingəçevir,Approved,1
100223,1546,269,3397.38,2025-02-28 04:58:45,Quba,Approved,1
100224,2590,35,2381.8,2025-07-04 23:21:32,Turkey,Approved,1
100225,643,276,3690.35,2024-10-27 03:37:03,Sumqayıt,Approved,1
100226,2952,318,450.32,2024-12-09 00:26:10,Online,Approved,1
100227,938,77,1850.48,2025-08-01 22:55:29,USA,Approved,1
100228,1548,76,1.77,2024-12-02 01:35:33,Online,Approved,1
100229,2074,276,1.37,2025-01-24 04:33:58,Online,Approved,1
100230,1815,35,636.78,2025-07-24 00:31:19,Turkey,Approved,1
100231,1734,99,58.77,2025-07-26 01:33:27,Online,Approved,1
100232,1537,109,1.39,2024-12-17 10:27:16,Online,Approved,1
100233,200,124,2.41,2025-04-03 01:18:48,Online,Approved,1
100234,2952,77,937.97,2025-01-26 13:00:01,USA,Approved,1
100235,2122,78,696.85,2025-04-03 14:17:38,China,Approved,1
100236,284,75,1.44,2025-03-04 12:54:58,Online,Approved,1
100237,1043,104,2989.68,2025-05-11 18:39:12,Lənkəran,Approved,1
100238,2534,300,191.37,2024-11-29 09:41:16,Online,Approved,1
100239,1601,97,176.97,2025-09-06 06:58:31,Online,Approved,1
100240,2592,77,1.56,2025-05-26 13:44:03,Online,Approved,1
100241,3012,394,4464.05,2025-07-21 21:05:32,Gəncə,Approved,1
100242,1351,369,1.25,2025-01-02 01:47:39,Online,Approved,1
100243,1427,244,94.94,2025-08-10 02:21:06,Online,Approved,1
100244,2671,83,677.65,2025-05-06 20:20:03,USA,Approved,1
100245,2554,229,2567.08,2025-05-18 18:29:31,Şirvan,Approved,1
100246,2314,342,84.19,2025-04-11 22:19:49,Online,Approved,1
100247,2122,74,2210.18,2025-03-15 07:26:18,USA,Approved,1
100248,2276,186,294.97,2025-07-09 10:05:52,Online,Approved,1
100249,537,89,3965.43,2025-01-12 19:46:35,Gəncə,Approved,1
100250,200,48,532.26,2025-05-17 06:28:58,USA,Approved,1
100251,1636,244,172.84,2025-07-15 06:27:18,Online,Approved,1
100252,128,138,2650.37,2025-01-16 15:46:49,Naxçıvan,Approved,1
100253,1200,288,0.93,2024-11-26 05:05:35,Online,Approved,1
100254,2159,81,1979.68,2025-04-03 00:10:26,USA,Approved,1
100255,1469,105,397.4,2025-03-14 23:00:10,Online,Approved,1
100256,663,124,0.62,2024-10-17 23:06:41,Online,Approved,1
100257,1797,143,382.48,2025-05-24 03:23:32,Online,Approved,1
100258,1582,100,244.47,2025-08-27 07:35:10,Online,Approved,1
100259,1636,276,1.72,2025-04-23 05:56:11,Online,Approved,1
100260,328,74,2161.93,2024-12-07 17:07:50,USA,Approved,1
100261,1816,396,3662.53,2024-12-27 19:36:56,Sumqayıt,Approved,1
100262,1304,24,2622.47,2025-04-01 12:47:29,Şirvan,Approved,1
100263,437,82,2220.84,2025-01-22 06:26:23,USA,Approved,1
100264,192,83,1121.81,2025-09-07 08:49:38,USA,Approved,1
100265,1576,201,2.21,2025-01-19 01:54:40,Online,Approved,1
100266,1607,83,2292.97,2024-12-04 16:02:38,USA,Approved,1
100267,23,311,4213.7,2025-02-03 06:46:06,Şəki,Approved,1
100268,595,24,4735.12,2025-01-17 21:06:02,Mingəçevir,Approved,1
100269,870,48,974.2,2024-12-17 16:24:42,USA,Approved,1
100270,1228,48,1836.34,2025-07-26 05:18:53,USA,Approved,1
100271,2981,169,278.81,2025-09-12 05:10:57,Online,Approved,1
100272,2202,123,320.91,2025-05-07 00:18:59,Online,Approved,1
100273,1799,135,2.27,2025-09-11 16:12:38,Online,Approved,1
100274,2516,330,1.71,2024-12-08 01:42:51,Online,Approved,1
100275,2938,276,1.53,2025-03-18 08:40:30,Online,Approved,1
100276,328,123,180.85,2025-05-15 23:54:19,Online,Approved,1
100277,2502,74,1218.91,2024-11-05 09:39:21,USA,Approved,1
100278,10,82,1049.64,2025-02-19 06:48:26,USA,Approved,1
100279,10,74,2451.09,2025-02-24 12:10:49,USA,Approved,1
100280,2276,74,4893.23,2024-11-23 01:40:39,USA,Approved,1
100281,643,22,2035.77,2025-06-19 00:00:22,Mingəçevir,Approved,1
100282,2590,97,97.69,2024-10-14 13:35:33,Online,Approved,1
100283,1214,369,1.73,2025-02-14 11:39:41,Online,Approved,1
100284,2590,154,1548.26,2025-09-13 09:34:38,Bakı,Approved,1
100285,2981,192,2.41,2025-08-02 18:55:10,Online,Approved,1
100286,1607,267,3246.65,2025-08-23 01:17:25,Sumqayıt,Approved,1
100287,1034,44,3949.9,2025-06-20 13:10:12,Bakı,Approved,1
100288,336,77,4051.04,2024-11-01 14:35:31,USA,Approved,1
100289,10,79,1,2024-10-22 13:40:20,Online,Approved,1
100290,2981,276,0.72,2024-12-19 09:42:51,Online,Approved,1
100291,925,48,1015.82,2025-05-01 17:50:45,USA,Approved,1
100292,328,48,1565.05,2025-07-06 20:48:15,USA,Approved,1
100293,1346,76,633.75,2025-05-18 16:30:48,USA,Approved,1
100294,1208,83,2.17,2025-02-14 04:05:57,Online,Approved,1
100295,1482,82,1084.24,2025-01-20 21:04:50,USA,Approved,1
100296,1200,164,2935.13,2025-07-01 15:07:57,Lənkəran,Approved,1
100297,1451,135,1.86,2024-12-25 20:31:03,Online,Approved,1
100298,1539,396,1.46,2024-10-16 00:36:02,Online,Approved,1
100299,52,77,417.97,2024-12-07 07:33:35,USA,Approved,1
100300,1410,35,1074.53,2024-10-03 18:54:31,Turkey,Approved,1
100301,1799,48,1334.08,2025-09-26 10:36:16,USA,Approved,1
100302,738,76,2096.36,2025-09-21 16:43:54,USA,Approved,1
100303,1034,381,1733.95,2025-07-02 05:10:37,Şəki,Approved,1
100304,870,193,2.04,2025-03-31 05:06:14,Online,Approved,1
100305,1574,124,0.87,2025-04-18 11:52:55,Online,Approved,1
100306,1601,238,168.04,2024-10-25 10:30:38,Online,Approved,1
100307,2499,238,220.49,2024-12-26 18:02:48,Online,Approved,1
100308,537,220,1.88,2024-10-03 14:55:30,Online,Approved,1
100309,207,74,1.9,2024-10-22 16:08:19,Online,Approved,1
100310,2159,97,391.64,2025-07-24 16:03:48,Online,Approved,1
100311,1857,77,2272.97,2025-03-12 03:59:03,USA,Approved,1
100312,938,288,1.77,2025-01-12 19:23:09,Online,Approved,1
100313,10,78,1269.61,2025-02-07 16:33:20,China,Approved,1
100314,437,123,278,2025-08-07 13:40:04,Online,Approved,1
100315,2570,266,2406.44,2025-06-28 18:21:18,Naxçıvan,Approved,1
100316,1546,101,157.63,2024-11-02 23:01:16,Online,Approved,1
100317,1737,78,1808.55,2024-10-15 05:17:37,China,Approved,1
100318,10,192,1.5,2025-04-27 00:02:32,Online,Approved,1
100319,2568,298,2.2,2024-11-22 18:21:42,Online,Approved,1
100320,2122,192,0.65,2025-03-13 23:46:25,Online,Approved,1
100321,2499,143,256.96,2024-12-14 11:38:24,Online,Approved,1
100322,2554,101,234.2,2025-03-09 07:16:12,Online,Approved,1
100323,200,31,4756.44,2025-04-04 04:37:33,Naxçıvan,Approved,1
100324,304,134,2721.6,2025-07-06 13:57:39,Lənkəran,Approved,1
100325,558,309,144.74,2025-02-03 18:51:00,Online,Approved,1
100326,510,137,1570.62,2024-10-16 10:33:28,Mingəçevir,Approved,1
100327,1890,139,1.34,2024-10-26 07:15:04,Online,Approved,1
100328,1737,79,0.81,2025-05-30 05:51:57,Online,Approved,1
100329,1386,342,422.73,2025-06-01 20:51:46,Online,Approved,1
100330,207,81,1466.93,2025-04-20 12:06:36,USA,Approved,1
100331,663,342,307.12,2025-03-10 13:55:25,Online,Approved,1
100332,537,81,480.15,2024-12-18 06:19:07,USA,Approved,1
100333,1346,318,169.27,2025-04-10 06:22:40,Online,Approved,1
100334,2314,89,1968.92,2024-10-20 22:38:10,Şəki,Approved,1
100335,2470,48,1537.7,2025-01-19 12:42:20,USA,Approved,1
100336,2314,83,1451.35,2025-05-14 07:45:58,USA,Approved,1
100337,117,288,1.13,2025-02-15 05:44:35,Online,Approved,1
100338,284,386,2683.24,2025-09-07 23:11:09,Bakı,Approved,1
100339,1451,76,590.1,2025-08-26 07:43:11,USA,Approved,1
100340,90,168,1.06,2024-09-30 18:56:23,Online,Approved,1
100341,1451,241,3099.17,2024-10-30 12:54:58,Mingəçevir,Approved,1
100342,1576,83,2460.73,2025-01-08 18:03:03,USA,Approved,1
100343,938,48,1673.57,2025-08-31 06:43:49,USA,Approved,1
100344,2981,83,2206.55,2025-06-18 06:21:06,USA,Approved,1
100345,2232,382,4373.13,2025-08-04 05:20:54,Quba,Approved,1
100346,1410,169,162.78,2025-07-26 14:16:40,Online,Approved,1
100347,2827,77,2.37,2024-10-08 18:24:25,Online,Approved,1
100348,1690,76,1996.13,2025-09-27 09:10:33,USA,Approved,1
100349,1034,83,512.67,2025-01-03 23:03:58,USA,Approved,1
100350,1669,233,1.98,2025-07-02 00:14:04,Online,Approved,1
100351,2470,76,553.61,2025-01-19 20:38:42,USA,Approved,1
100352,738,35,1926.94,2024-12-28 21:13:00,Turkey,Approved,1
100353,852,83,751.34,2024-10-25 19:51:16,USA,Approved,1
100354,681,105,220.19,2025-04-01 02:17:33,Online,Approved,1
100355,738,302,2953.37,2025-09-13 08:22:24,Gəncə,Approved,1
100356,1439,372,3562.14,2025-08-25 17:50:32,Sumqayıt,Approved,1
100357,1669,384,145.35,2025-09-15 03:49:41,Online,Approved,1
100358,2570,379,3280.78,2025-02-02 16:43:52,Bakı,Approved,1
100359,1198,186,229.85,2025-08-17 18:14:14,Online,Approved,1
100360,336,97,150.82,2025-09-22 09:33:48,Online,Approved,1
100361,439,78,631.63,2025-08-11 15:42:29,China,Approved,1
100362,1427,83,1979.21,2025-06-22 11:54:06,USA,Approved,1
100363,1816,220,1.78,2025-08-09 01:40:34,Online,Approved,1
100364,2232,384,290.12,2025-06-09 08:30:21,Online,Approved,1
100365,1636,344,198.24,2024-11-10 08:11:41,Online,Approved,1
100366,1601,353,4047.38,2025-03-10 17:28:59,Şəki,Approved,1
100367,1582,180,2338.63,2025-04-30 02:21:01,Lənkəran,Approved,1
100368,1228,10,2002.49,2025-05-24 23:44:19,Gəncə,Approved,1
100369,1489,35,2036.03,2024-10-04 23:35:40,Turkey,Approved,1
100370,738,236,2200.84,2025-04-02 16:07:43,Quba,Approved,1
100371,128,242,0.63,2025-07-21 17:14:54,Online,Approved,1
100372,3012,43,3219.26,2024-11-22 07:01:28,Quba,Approved,1
100373,1537,127,1.48,2024-11-05 02:56:35,Online,Approved,1
100374,1346,262,285.43,2025-08-08 07:40:41,Online,Approved,1
100375,254,369,1.69,2025-05-05 19:30:44,Online,Approved,1
100376,595,74,1.26,2025-03-05 06:07:22,Online,Approved,1
100377,2568,294,4635.68,2025-04-01 05:29:17,Quba,Approved,1
100378,406,344,288.48,2025-05-12 08:46:22,Online,Approved,1
100379,2590,298,0.65,2024-10-09 02:15:25,Online,Approved,1
100380,2502,8,4514.52,2025-04-10 20:09:13,Sumqayıt,Approved,1
100381,73,83,0.8,2025-08-26 04:50:53,Online,Approved,1
100382,2570,81,2449.49,2025-05-27 06:14:33,USA,Approved,1
100383,2981,127,2.38,2025-06-04 15:41:58,Online,Approved,1
100384,1601,293,1785.35,2024-10-30 06:36:42,Naxçıvan,Approved,1
100385,1857,192,1.65,2025-04-06 05:22:22,Online,Approved,1
100386,1582,109,0.51,2025-01-01 09:10:31,Online,Approved,1
100387,2329,159,0.59,2025-04-10 06:51:16,Online,Approved,1
100388,1548,77,509.72,2025-09-03 00:46:12,USA,Approved,1
100389,1799,396,1.08,2025-07-24 02:40:53,Online,Approved,1
100390,938,73,3512.67,2025-04-14 09:13:22,Lənkəran,Approved,1
100391,1797,81,711.74,2024-12-17 18:53:58,USA,Approved,1
100392,1576,309,215.5,2025-09-24 00:51:06,Online,Approved,1
100393,2938,143,248.36,2025-04-03 04:45:05,Online,Approved,1
100394,2516,135,1.14,2025-05-16 04:51:04,Online,Approved,1
100395,1200,300,343.84,2024-11-26 04:48:17,Online,Approved,1
100396,1304,276,0.85,2024-10-08 21:09:57,Online,Approved,1
100397,799,83,507.75,2025-07-25 21:58:37,USA,Approved,1
